train,valid
15786945071473.31,274835185699288.62
15751455174454.557,272138046900696.62
15534162121979.803,278288481366331.06
15417088714718.426,285663913292091.06
15384308320893.902,281886645712423.4
15179345765829.246,283014029458195.7
15121622361809.836,277912525895207.38
15024606614779.803,288455471681220.94
14855512698947.148,283491333510065.25
14803265371354.23,285169950755288.6
14628716316235.541,266890418948568.62
14570838410558.951,286269250732032.0
14425781913432.13,282555442326606.75
14343133651615.475,274421700886528.0
